code,name,year,industry
300419,ST浩丰,2024,S71
300420,五洋自控,2022,S64
300420,五洋自控,2023,S64
300420,五洋自控,2024,S64
300421,力星股份,2022,S64
300421,力星股份,2023,S64
300421,力星股份,2024,S64
300422,博世科,2022,S76
300422,博世科,2023,S76
300422,博世科,2024,S76
300423,昇辉科技,2022,S63
300423,昇辉科技,2023,S63
300423,昇辉科技,2024,S63
300424,航新科技,2022,S65
300424,航新科技,2023,S65
300424,航新科技,2024,S65
300425,中建环能,2022,S76
300425,中建环能,2023,S76
300425,中建环能,2024,S76
300426,华智数媒,2022,S72
300426,华智数媒,2023,S72
300426,华智数媒,2024,S72
300427,红相股份,2022,S63
300427,红相股份,2023,S63
300427,红相股份,2024,S63
300428,立中集团,2022,S28
300428,立中集团,2023,S28
300428,立中集团,2024,S28
300429,强力新材,2022,S27
300429,强力新材,2023,S27
300429,强力新材,2024,S27
300430,诚益通,2022,S64
300430,诚益通,2023,S64
300430,诚益通,2024,S64
300432,富临精工,2022,S28
300432,富临精工,2023,S63
300432,富临精工,2024,S63
300433,蓝思科技,2022,S27
300433,蓝思科技,2023,S27
300433,蓝思科技,2024,S27
300434,金石亚药,2022,S37
300434,金石亚药,2023,S37
300434,金石亚药,2024,S37
300435,中泰股份,2022,S41
300435,中泰股份,2023,S41
300435,中泰股份,2024,S41
300436,广生堂,2022,S37
300436,广生堂,2023,S37
300436,广生堂,2024,S37
300437,清水源,2022,S76
300437,清水源,2023,S76
300437,清水源,2024,S76
300438,鹏辉能源,2022,S63
300438,鹏辉能源,2023,S63
300438,鹏辉能源,2024,S63
300439,美康生物,2022,S37
300439,美康生物,2023,S37
300439,美康生物,2024,S37
300440,运达科技,2022,S71
300440,运达科技,2023,S71
300440,运达科技,2024,S71
300441,鲍斯股份,2022,S64
300441,鲍斯股份,2023,S64
300441,鲍斯股份,2024,S64
300442,润泽科技,2022,S64
300442,润泽科技,2023,S73
300442,润泽科技,2024,S73
300443,金雷股份,2022,S63
300443,金雷股份,2023,S63
300443,金雷股份,2024,S63
300444,双杰电气,2022,S63
300444,双杰电气,2023,S63
300444,双杰电气,2024,S63
300445,康斯特,2022,S64
300445,康斯特,2023,S64
300445,康斯特,2024,S64
300446,航天智造,2022,S27
300446,航天智造,2023,S27
300446,航天智造,2024,S28
300447,全信股份,2022,S65
300447,全信股份,2023,S65
300447,全信股份,2024,S65
